-10.0 1.75 0.9933071490757152
-9.0 1.6249998807907104 0.9890130573694068
-8.0 1.5 0.9820137900379085
-6.999999523162842 1.375 0.9706877624649134
-6.0 1.2499998807907104 0.9525741268224333
-5.0 1.1249998807907104 0.9241418199787564
-4.0 1.0 0.8807970779778824
-3.0 0.8749999403953552 0.8175744761936438
-2.0 0.75 0.7310585786300049
-1.0 0.625 0.6224593312018546
1.0 0.375 0.3775406687981455
2.0 0.25 0.2689414213699951
3.0 0.125 0.18242552380635632
4.0 1.5133991837501526e-09 0.11920292202211756
5.0 -0.12499994039535522 0.07585818002124355
6.0 -0.24999995529651642 0.04742587317756678
6.999999523162842 -0.375 0.02931223753508661
8.0 -0.5 0.017986209962091555
9.0 -0.625 0.01098694263059318
10.0 -0.7499998807907104 0.006692850924284855
